ID,DESCRIPTION
LA,ACTIVIDAD EN AEROPUERTO
LCB,DIA LIBRE CAMBIO DE BASE
CS,COMISIÓN DE SERVICIO – AUDITORIA
D,DÍA DESCANSO
DH,DESCANSO EN HOTEL EN BASE
DT,DESCANSO PREVIO A ACTIVIDAD NO AÉREA
FDM,REUNION FDM
FI,INSPECCIÓN EN VUELO
GS,GARANTÍA SINDICAL
IM,IMAGINARIA (GENÉRICA)
IMI,IMAGINARIA ASIGNADA A TRIPULANTE INEXPERTO / EN INSTRUCCIÓN
LX,DÍA LIBRE SOLICITADO
L,DÍA LIBRE
LR,DÍA LIBRE RECUPERADO
LN,LIBRE SIN NOCHES LOCALES
LT / LTR,LIBRE TRABAJADO
N,RESERVA POSICIONAMIENTO
ND,NO DISPONIBLE PARA VUELO
NQ,BAJA EN COMPAÑÍA
NS,NO PRESENTADO
OC,OFICINA
RE,RESERVA
REI,RESERVA ASIGNADA A TRIPULANTE EN INSTRUCCIÓN
RF,REUNION DE JEFES DE FLOTA
RJ,REDUCCIÓN DE JORNADA
RM,RECONOCIMIENTO MEDICO
SI,SIMULATOR INSPECTOR
V,VACACIONES (DÍA NATURAL)
VR,VACACIONES (DÍA NATURAL) RECUPERADAS DEL AÑO ANTERIOR
VL,VACACIONES (DÍA LABORABLE)
VB,PERMISO DE BODA
VN,PERMISO NACIMIENTO
X,BAJA MEDICA
XX,TRIPULANTE NO DE ALTA EN SWT
*,POSICIONAMIENTO CON POSIBLE FDP
CM,CURSO CRM
CR,CURSO PRESENCIAL
CRE,CURSO PRESENCIAL ACTIVIDAD AÉREA CON EXTENSIÓN
CRE (training),CURSO PRESENCIAL INSTRUCCIÓN EN LÍNEA FO
CRF (training),CURSO PRESENCIAL INSTRUCCIÓN EN LÍNEA FAM
CRM,CURSO PRESENCIAL MEMO
CRM (training),CURSO PRESENCIAL INSTRUCCIÓN EN LÍNEA MAT
CRN,CURSO PRESENCIAL NOTIFICACIÓN PENDIENTE
CRO (training),CURSO PRESENCIAL OTRA INSTRUCCIÓN EN LÍNEA
CRP (training),CURSO PRESENCIAL INSTRUCCIÓN EN LÍNEA CP
CRR,CURSO PRESENCIAL ACTIVIDAD SOLICITADA
CRS,CURSO PRESENCIAL CAMBIO PERSONAL
CRT,CURSO PRESENCIAL INSTRUCCIÓN EN LÍNEA CANCELADA
CRV (training),CURSO PRESENCIAL VERIFICACIÓN EN LÍNEA
LPC,SIMULADOR LPC
LPCE,SIMULADOR LPC ACTIVIDAD AÉREA CON EXTENSIÓN
LPCE (training),SIMULADOR LPC INSTRUCCIÓN EN LÍNEA FO
LPCF (training),SIMULADOR LPC INSTRUCCIÓN EN LÍNEA FAM
LPCM,SIMULADOR LPC MEMO
LPCM (training),SIMULADOR LPC INSTRUCCIÓN EN LÍNEA MAT
LPCN,SIMULADOR LPC NOTIFICACIÓN PENDIENTE
LPCO (training),SIMULADOR LPC OTRA INSTRUCCIÓN EN LÍNEA
LPCP (training),SIMULADOR LPC INSTRUCCIÓN EN LÍNEA CP
LPCR,SIMULADOR LPC ACTIVIDAD SOLICITADA
LPCS,SIMULADOR LPC CAMBIO PERSONAL
LPCT,SIMULADOR LPC INSTRUCCIÓN EN LÍNEA CANCELADA
LPCV (training),SIMULADOR LPC VERIFICACIÓN EN LÍNEA
